Avgstr = 9.1561736092116170
CG Iteration #1, relres 0.9656430857656245
CG Iteration #2, relres 0.9101453476844510
CG Iteration #3, relres 0.8780970076812948
CG Iteration #4, relres 0.8477274892539183
CG Iteration #5, relres 0.8029003815250920
CG Iteration #6, relres 0.7460991432899712
CG Iteration #7, relres 0.6982189682668352
CG Iteration #8, relres 0.6604673076784623
CG Iteration #9, relres 0.6132472680785849
CG Iteration #10, relres 0.5487744248478345
CG Iteration #11, relres 0.5038494933483647
CG Iteration #12, relres 0.4311343503436676
CG Iteration #13, relres 0.3764878438162351
CG Iteration #14, relres 0.3342599576762625
CG Iteration #15, relres 0.2912658115181632
CG Iteration #16, relres 0.2315290397719736
CG Iteration #17, relres 0.2037385329705372
CG Iteration #18, relres 0.1654091623291339
CG Iteration #19, relres 0.1391092928872478
CG Iteration #20, relres 0.1178375790829684
CG Iteration #21, relres 0.1002734072073082
CG Iteration #22, relres 0.0871969887440412
CG Iteration #23, relres 0.0709772379395497
CG Iteration #24, relres 0.0611798912801999
CG Iteration #25, relres 0.0497434730392379
CG Iteration #26, relres 0.0410693337527611
CG Iteration #27, relres 0.0347584234714118
CG Iteration #28, relres 0.0295387146254211
CG Iteration #29, relres 0.0245843639805130
CG Iteration #30, relres 0.0202946812278174
CG Iteration #31, relres 0.0172935832433137
CG Iteration #32, relres 0.0136993051404293
CG Iteration #33, relres 0.0115706718425304
CG Iteration #34, relres 0.0095053547744408
CG Iteration #35, relres 0.0079388516401322
CG Iteration #36, relres 0.0067375547350388
CG Iteration #37, relres 0.0057625621426011
CG Iteration #38, relres 0.0054898578498245
CG Iteration #39, relres 0.0046255541076765
CG Iteration #40, relres 0.0036778772056864
CG Iteration #41, relres 0.0035259748735501
CG Iteration #42, relres 0.0029359361956584
CG Iteration #43, relres 0.0022680147525858
CG Iteration #44, relres 0.0018854222127523
CG Iteration #45, relres 0.0015593350661653
CG Iteration #46, relres 0.0012956859201430
CG Iteration #47, relres 0.0011490289323116
CG Iteration #48, relres 0.0010341550476327
CG Iteration #49, relres 0.0008624902448358
CG Iteration #50, relres 0.0006634566322537
CG Iteration #51, relres 0.0004979276253067
CG Iteration #52, relres 0.0003841335803164
CG Iteration #53, relres 0.0003549897911964
CG Iteration #54, relres 0.0002824347595842
CG Iteration #55, relres 0.0002220718357199
CG Iteration #56, relres 0.0001913115857553
CG Iteration #57, relres 0.0001701148021859
CG Iteration #58, relres 0.0001297621163331
CG Iteration #59, relres 0.0000972249086315
CG Iteration #60, relres 0.0000703080248713
CG Iteration #61, relres 0.0000530052049003
CG Iteration #62, relres 0.0000497003335820
CG Iteration #63, relres 0.0000395403915969
CG Iteration #64, relres 0.0000304508362849
CG Iteration #65, relres 0.0000221442246283
CG Iteration #66, relres 0.0000165814402073
CG Iteration #67, relres 0.0000161520156769
CG Iteration #68, relres 0.0000132358316571
CG Iteration #69, relres 0.0000121187306141
CG Iteration #70, relres 0.0000093368865476
CG Iteration #71, relres 0.0000071224955479
CG Iteration #72, relres 0.0000068605057444
CG Iteration #73, relres 0.0000049413542021
CG Iteration #74, relres 0.0000037215824536
CG Iteration #75, relres 0.0000033421910865
CG Iteration #76, relres 0.0000024060383339
CG Iteration #77, relres 0.0000017683510526
CG Iteration #78, relres 0.0000013477584278
CG Iteration #79, relres 0.0000013231506076
CG Iteration #80, relres 0.0000009821097014
n = 1000 iter = 80 time = 0.769s relres = 0.0000009821097014
