Avgstr = 351.9578400458389638
CG Iteration #1, relres 0.9997318314931499
CG Iteration #2, relres 0.9947530476967054
CG Iteration #3, relres 0.9924828216041235
CG Iteration #4, relres 0.9891058340422565
CG Iteration #5, relres 0.9877256286573111
CG Iteration #6, relres 0.9835911708930896
CG Iteration #7, relres 0.9739175092649848
CG Iteration #8, relres 0.9666726556125966
CG Iteration #9, relres 0.9633335268910502
CG Iteration #10, relres 0.9572393080829222
CG Iteration #11, relres 0.9469015928228155
CG Iteration #12, relres 0.9362152845040769
CG Iteration #13, relres 0.9307833628294565
CG Iteration #14, relres 0.9274984927973310
CG Iteration #15, relres 0.9187555798101261
CG Iteration #16, relres 0.9018870759743265
CG Iteration #17, relres 0.8916328610791558
CG Iteration #18, relres 0.8860169899145798
CG Iteration #19, relres 0.8856927986729876
CG Iteration #20, relres 0.8782577769508862
CG Iteration #21, relres 0.8658204700359622
CG Iteration #22, relres 0.8551725008836293
CG Iteration #23, relres 0.8502186172719183
CG Iteration #24, relres 0.8427931094883369
CG Iteration #25, relres 0.8300953504122393
CG Iteration #26, relres 0.8195668841992705
CG Iteration #27, relres 0.8130136721458843
CG Iteration #28, relres 0.8032565409185655
CG Iteration #29, relres 0.7931178190310473
CG Iteration #30, relres 0.7865116963158388
CG Iteration #31, relres 0.7771216150700208
CG Iteration #32, relres 0.7623321923145041
CG Iteration #33, relres 0.7542071827470068
CG Iteration #34, relres 0.7524984658111351
CG Iteration #35, relres 0.7522314280034486
CG Iteration #36, relres 0.7493168024928237
CG Iteration #37, relres 0.7403154743080035
CG Iteration #38, relres 0.7258997114207077
CG Iteration #39, relres 0.7177529395935719
CG Iteration #40, relres 0.7128646080930074
CG Iteration #41, relres 0.7008251884505530
CG Iteration #42, relres 0.6812591810377497
CG Iteration #43, relres 0.6723980479876989
CG Iteration #44, relres 0.6674148388281078
CG Iteration #45, relres 0.6559696218952606
CG Iteration #46, relres 0.6414006351792504
CG Iteration #47, relres 0.6355922011717475
CG Iteration #48, relres 0.6298013488974542
CG Iteration #49, relres 0.6165128120260103
CG Iteration #50, relres 0.6066700508755475
CG Iteration #51, relres 0.6063131521591570
CG Iteration #52, relres 0.6038807430609624
CG Iteration #53, relres 0.6003149387168991
CG Iteration #54, relres 0.5927468197836482
CG Iteration #55, relres 0.5790937201326152
CG Iteration #56, relres 0.5696552001231053
CG Iteration #57, relres 0.5657980292575417
CG Iteration #58, relres 0.5545338747033464
CG Iteration #59, relres 0.5398987768593660
CG Iteration #60, relres 0.5342299023037300
CG Iteration #61, relres 0.5303577107023114
CG Iteration #62, relres 0.5191198945686201
CG Iteration #63, relres 0.5175888316993524
CG Iteration #64, relres 0.5092987316368591
CG Iteration #65, relres 0.5049298574967096
CG Iteration #66, relres 0.4975065602805192
CG Iteration #67, relres 0.4973015316636141
CG Iteration #68, relres 0.4881469876173141
CG Iteration #69, relres 0.4792026294372929
CG Iteration #70, relres 0.4739330040165938
CG Iteration #71, relres 0.4693891399665346
CG Iteration #72, relres 0.4588191631679665
CG Iteration #73, relres 0.4510729056564279
CG Iteration #74, relres 0.4473975187805387
CG Iteration #75, relres 0.4420423128705823
CG Iteration #76, relres 0.4318605660303685
CG Iteration #77, relres 0.4248063622450596
CG Iteration #78, relres 0.4208230254403548
CG Iteration #79, relres 0.4118222301821494
CG Iteration #80, relres 0.3998510747637583
CG Iteration #81, relres 0.3940261392856059
CG Iteration #82, relres 0.3917946845447458
CG Iteration #83, relres 0.3899144423781778
CG Iteration #84, relres 0.3802961155423702
CG Iteration #85, relres 0.3718976593610528
CG Iteration #86, relres 0.3691797048176766
CG Iteration #87, relres 0.3650450665922176
CG Iteration #88, relres 0.3553636594816614
CG Iteration #89, relres 0.3515109487351429
CG Iteration #90, relres 0.3490534464752404
CG Iteration #91, relres 0.3487325528407822
CG Iteration #92, relres 0.3413772825163563
CG Iteration #93, relres 0.3340527574206743
CG Iteration #94, relres 0.3267203102603190
CG Iteration #95, relres 0.3241735717243573
CG Iteration #96, relres 0.3228296172319550
CG Iteration #97, relres 0.3155105914829214
CG Iteration #98, relres 0.3090906843899378
CG Iteration #99, relres 0.3090262785112736
CG Iteration #100, relres 0.3069084022256658
CG Iteration #101, relres 0.3028202671153620
CG Iteration #102, relres 0.2946674462383140
CG Iteration #103, relres 0.2898449574073399
CG Iteration #104, relres 0.2871472363437798
CG Iteration #105, relres 0.2777574611925837
CG Iteration #106, relres 0.2732502561843193
CG Iteration #107, relres 0.2719316371991294
CG Iteration #108, relres 0.2694425551196117
CG Iteration #109, relres 0.2613922228008901
CG Iteration #110, relres 0.2575338731958819
CG Iteration #111, relres 0.2552069147261014
CG Iteration #112, relres 0.2487876073844461
CG Iteration #113, relres 0.2439194247768424
CG Iteration #114, relres 0.2433359293006715
CG Iteration #115, relres 0.2410259478011521
CG Iteration #116, relres 0.2381389611928162
CG Iteration #117, relres 0.2310541911945301
CG Iteration #118, relres 0.2276217425366611
CG Iteration #119, relres 0.2270862384825357
CG Iteration #120, relres 0.2244716998421969
CG Iteration #121, relres 0.2196811665042167
CG Iteration #122, relres 0.2153324938318220
CG Iteration #123, relres 0.2119186696502348
CG Iteration #124, relres 0.2086602808633299
CG Iteration #125, relres 0.2020621970642946
CG Iteration #126, relres 0.2002731259736330
CG Iteration #127, relres 0.1984879727323511
CG Iteration #128, relres 0.1914584345995715
CG Iteration #129, relres 0.1914363848256355
CG Iteration #130, relres 0.1881369922905787
CG Iteration #131, relres 0.1851834067955658
CG Iteration #132, relres 0.1788924205123222
CG Iteration #133, relres 0.1776166219976931
CG Iteration #134, relres 0.1758291348018651
CG Iteration #135, relres 0.1700095710198594
CG Iteration #136, relres 0.1684108882203397
CG Iteration #137, relres 0.1678407073719840
CG Iteration #138, relres 0.1635037149570686
CG Iteration #139, relres 0.1583044187630868
CG Iteration #140, relres 0.1575561439758292
CG Iteration #141, relres 0.1556952509665183
CG Iteration #142, relres 0.1494081024065642
CG Iteration #143, relres 0.1480986924864604
CG Iteration #144, relres 0.1472489978061008
CG Iteration #145, relres 0.1426550819395249
CG Iteration #146, relres 0.1408019969549937
CG Iteration #147, relres 0.1387580179699983
CG Iteration #148, relres 0.1366577448593637
CG Iteration #149, relres 0.1310472547862317
CG Iteration #150, relres 0.1292897402422607
CG Iteration #151, relres 0.1236449376713230
CG Iteration #152, relres 0.1224299348520940
CG Iteration #153, relres 0.1212854449216201
CG Iteration #154, relres 0.1167202951160412
CG Iteration #155, relres 0.1161146213886681
CG Iteration #156, relres 0.1147467312322970
CG Iteration #157, relres 0.1098186316467979
CG Iteration #158, relres 0.1098098570012977
CG Iteration #159, relres 0.1090652144578626
CG Iteration #160, relres 0.1065101911439452
CG Iteration #161, relres 0.1041144777257276
CG Iteration #162, relres 0.1017541082893720
CG Iteration #163, relres 0.0995088513690621
CG Iteration #164, relres 0.0974464255780148
CG Iteration #165, relres 0.0953045364322996
CG Iteration #166, relres 0.0930393751835153
CG Iteration #167, relres 0.0918447219560147
CG Iteration #168, relres 0.0876380480473598
CG Iteration #169, relres 0.0871880197663952
CG Iteration #170, relres 0.0869381788728367
CG Iteration #171, relres 0.0859540077342354
CG Iteration #172, relres 0.0845069378138606
CG Iteration #173, relres 0.0842289935342660
CG Iteration #174, relres 0.0816830259533988
CG Iteration #175, relres 0.0815350699787059
CG Iteration #176, relres 0.0782649542160182
CG Iteration #177, relres 0.0771442912032365
CG Iteration #178, relres 0.0767335933504584
CG Iteration #179, relres 0.0727088930287922
CG Iteration #180, relres 0.0713311947366314
CG Iteration #181, relres 0.0700009249897339
CG Iteration #182, relres 0.0682261739090436
CG Iteration #183, relres 0.0647316080044536
CG Iteration #184, relres 0.0644692942118402
CG Iteration #185, relres 0.0614964962089133
CG Iteration #186, relres 0.0613874090979951
CG Iteration #187, relres 0.0602638765008191
CG Iteration #188, relres 0.0592571265270737
CG Iteration #189, relres 0.0582822649237213
CG Iteration #190, relres 0.0575783909472172
CG Iteration #191, relres 0.0551916883109376
CG Iteration #192, relres 0.0544215439162433
CG Iteration #193, relres 0.0520995458106964
CG Iteration #194, relres 0.0520662824030088
CG Iteration #195, relres 0.0515722940442674
CG Iteration #196, relres 0.0494723288852048
CG Iteration #197, relres 0.0490515340206104
CG Iteration #198, relres 0.0473149371359500
CG Iteration #199, relres 0.0465041932139009
CG Iteration #200, relres 0.0444104970305079
CG Iteration #201, relres 0.0443563479781663
CG Iteration #202, relres 0.0435771757369448
CG Iteration #203, relres 0.0425613240268727
CG Iteration #204, relres 0.0412670810384316
CG Iteration #205, relres 0.0398077480388755
CG Iteration #206, relres 0.0391142452710133
CG Iteration #207, relres 0.0386946853863608
CG Iteration #208, relres 0.0377382487092799
CG Iteration #209, relres 0.0372867019999620
CG Iteration #210, relres 0.0371802006654566
CG Iteration #211, relres 0.0368124737198043
CG Iteration #212, relres 0.0356425606745997
CG Iteration #213, relres 0.0351945119710888
CG Iteration #214, relres 0.0350627577957315
CG Iteration #215, relres 0.0342130503616283
CG Iteration #216, relres 0.0340917887436303
CG Iteration #217, relres 0.0333988733370565
CG Iteration #218, relres 0.0329484684637155
CG Iteration #219, relres 0.0315026100741915
CG Iteration #220, relres 0.0313604017028472
CG Iteration #221, relres 0.0312922239748997
CG Iteration #222, relres 0.0299856440033928
CG Iteration #223, relres 0.0297934707164594
CG Iteration #224, relres 0.0289998544623037
CG Iteration #225, relres 0.0281225131461724
CG Iteration #226, relres 0.0280031737260388
CG Iteration #227, relres 0.0273938885673771
CG Iteration #228, relres 0.0266036045592562
CG Iteration #229, relres 0.0264093321779074
CG Iteration #230, relres 0.0263570428563576
CG Iteration #231, relres 0.0253263269606762
CG Iteration #232, relres 0.0250849292621896
CG Iteration #233, relres 0.0241509321049073
CG Iteration #234, relres 0.0235504935102759
CG Iteration #235, relres 0.0233882072562605
CG Iteration #236, relres 0.0222441550929187
