Avgstr = 337.5315329489752116
CG Iteration #1, relres 0.9984621258098726
CG Iteration #2, relres 0.9976496606867732
CG Iteration #3, relres 0.9936357498474314
CG Iteration #4, relres 0.9911413392268598
CG Iteration #5, relres 0.9890465562761992
CG Iteration #6, relres 0.9868259122005379
CG Iteration #7, relres 0.9801673221263429
CG Iteration #8, relres 0.9773729323646348
CG Iteration #9, relres 0.9761008106436435
CG Iteration #10, relres 0.9704428309966312
CG Iteration #11, relres 0.9649844560869725
CG Iteration #12, relres 0.9632000891952254
CG Iteration #13, relres 0.9615601387263357
CG Iteration #14, relres 0.9582707989155077
CG Iteration #15, relres 0.9551143650246554
CG Iteration #16, relres 0.9537780705964989
CG Iteration #17, relres 0.9522558170775898
CG Iteration #18, relres 0.9471982199686413
CG Iteration #19, relres 0.9453383192515395
CG Iteration #20, relres 0.9444177759041391
CG Iteration #21, relres 0.9403705990055278
CG Iteration #22, relres 0.9353149454412735
CG Iteration #23, relres 0.9344214291313919
CG Iteration #24, relres 0.9286926052248365
CG Iteration #25, relres 0.9257347402893481
CG Iteration #26, relres 0.9181631442752405
CG Iteration #27, relres 0.9168450010915322
CG Iteration #28, relres 0.9073701991423730
CG Iteration #29, relres 0.9046933583605188
CG Iteration #30, relres 0.8962388581524992
CG Iteration #31, relres 0.8855078514953366
CG Iteration #32, relres 0.8778100642755680
CG Iteration #33, relres 0.8764895826689876
CG Iteration #34, relres 0.8650487614604480
CG Iteration #35, relres 0.8639844240665157
CG Iteration #36, relres 0.8521982212480292
CG Iteration #37, relres 0.8511017456214056
CG Iteration #38, relres 0.8464547617237724
CG Iteration #39, relres 0.8453326587801926
CG Iteration #40, relres 0.8356224164746243
CG Iteration #41, relres 0.8349632586002826
CG Iteration #42, relres 0.8280022903481192
CG Iteration #43, relres 0.8262254426679227
CG Iteration #44, relres 0.8225660695755439
CG Iteration #45, relres 0.8174359920425083
CG Iteration #46, relres 0.8162867270209321
CG Iteration #47, relres 0.8114541350042147
CG Iteration #48, relres 0.8069146312207102
CG Iteration #49, relres 0.8054750888295955
CG Iteration #50, relres 0.7949570273132114
CG Iteration #51, relres 0.7939140657926714
CG Iteration #52, relres 0.7896463170761658
CG Iteration #53, relres 0.7861945906434767
CG Iteration #54, relres 0.7836181697661379
CG Iteration #55, relres 0.7721850616621897
CG Iteration #56, relres 0.7690265139046034
CG Iteration #57, relres 0.7614002428710144
CG Iteration #58, relres 0.7589230979875322
CG Iteration #59, relres 0.7504590912885959
CG Iteration #60, relres 0.7493987514910185
CG Iteration #61, relres 0.7472175361266395
CG Iteration #62, relres 0.7395822611930158
CG Iteration #63, relres 0.7381895074344272
CG Iteration #64, relres 0.7361504335360994
CG Iteration #65, relres 0.7276952278914217
CG Iteration #66, relres 0.7260940491893746
CG Iteration #67, relres 0.7156801042407097
CG Iteration #68, relres 0.7136329345453788
CG Iteration #69, relres 0.7084729703222508
CG Iteration #70, relres 0.7069833316813485
CG Iteration #71, relres 0.7061039363205882
CG Iteration #72, relres 0.6966669594473405
CG Iteration #73, relres 0.6951769438926292
CG Iteration #74, relres 0.6890902973562847
CG Iteration #75, relres 0.6870380779246573
CG Iteration #76, relres 0.6837212104182143
CG Iteration #77, relres 0.6798477647793350
CG Iteration #78, relres 0.6750757415667548
CG Iteration #79, relres 0.6625508290696689
CG Iteration #80, relres 0.6615997445819342
CG Iteration #81, relres 0.6567853758033645
CG Iteration #82, relres 0.6559846145516445
CG Iteration #83, relres 0.6454417894068276
CG Iteration #84, relres 0.6448295300649247
CG Iteration #85, relres 0.6388919285326518
CG Iteration #86, relres 0.6338591969059408
