anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
5000 iterations
iter = 1      errA=326.4587349052278      err2_a=0.9984621258098728      err2_b=283.7629510048204
iter = 2      errA=326.1452417565684      err2_a=0.9976496606867769      err2_b=278.86967344852803
iter = 3      errA=325.1680603041245      err2_a=0.99363574984743      err2_b=294.32497164904584
iter = 4      errA=324.5382701981725      err2_a=0.9911413392268615      err2_b=286.27742906808794
iter = 5      errA=324.04008634579213      err2_a=0.9890465562762014      err2_b=295.4975871440341
iter = 6      errA=323.41731305378374      err2_a=0.9868259122005405      err2_b=285.44223160798117
iter = 7      errA=321.868838347018      err2_a=0.9801673221263435      err2_b=285.86736772761515
iter = 8      errA=321.0426237434345      err2_a=0.9773729323646362      err2_b=278.6561497224634
iter = 9      errA=320.7116177504572      err2_a=0.9761008106436472      err2_b=279.40929918355204
iter = 10      errA=319.38269896755594      err2_a=0.9704428309966342      err2_b=300.40310689893624
iter = 11      errA=317.8989352465674      err2_a=0.964984456086974      err2_b=290.88130881256745
iter = 12      errA=317.47538635187647      err2_a=0.9632000891952267      err2_b=277.8883558610541
iter = 13      errA=317.1052012873606      err2_a=0.9615601387263384      err2_b=286.0859860734627
iter = 14      errA=316.1584971536867      err2_a=0.958270798915509      err2_b=279.6949880737655
iter = 15      errA=315.281568821362      err2_a=0.955114365024659      err2_b=285.6079405474632
iter = 16      errA=314.9007095865595      err2_a=0.9537780705965017      err2_b=285.00257668105337
iter = 17      errA=314.439737672583      err2_a=0.9522558170775889      err2_b=282.90668451762167
iter = 18      errA=313.2416576651144      err2_a=0.9471982199686448      err2_b=282.3709105293236
iter = 19      errA=312.67845868247554      err2_a=0.9453383192515394      err2_b=278.6442473175809
iter = 20      errA=312.3810597140199      err2_a=0.9444177759041413      err2_b=279.6279112184818
iter = 21      errA=311.2799665112004      err2_a=0.9403705990055304      err2_b=277.7700584459143
iter = 22      errA=309.753296747184      err2_a=0.9353149454412771      err2_b=279.5685851843367
iter = 23      errA=309.49721886777354      err2_a=0.9344214291313954      err2_b=277.79680992965336
iter = 24      errA=307.91143272484254      err2_a=0.928692605224844      err2_b=276.44404838518784
