=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 64
====DATA = ../graphs/pathDisjoint_1000_exp30/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 19313200276958.230000
||xbar||_A = 8995913.338838
i=  1, err2=0.848964, errA = 0.872156
i=  2, err2=0.396763, errA = 0.514525
i=  3, err2=0.194176, errA = 0.337683
i=  4, err2=0.179141, errA = 0.279751
i=  5, err2=0.123549, errA = 0.221712
i=  6, err2=0.0650965, errA = 0.170996
i=  7, err2=0.0453192, errA = 0.153659
i=  8, err2=0.0369214, errA = 0.138048
i=  9, err2=0.037355, errA = 0.137633
i= 10, err2=0.0363205, errA = 0.118928
i= 11, err2=0.0266691, errA = 0.0977088
i= 12, err2=0.0204632, errA = 0.0909413
i= 13, err2=0.0164395, errA = 0.0845974
i= 14, err2=0.0140841, errA = 0.0815146
i= 15, err2=0.0169904, errA = 0.0774548
i= 16, err2=0.0173653, errA = 0.0772625
i= 17, err2=0.0147129, errA = 0.0717608
i= 18, err2=0.0143465, errA = 0.0662112
i= 19, err2=0.00957737, errA = 0.0622262
i= 20, err2=0.0102984, errA = 0.0586683
i= 21, err2=0.0106699, errA = 0.056393
i= 22, err2=0.0114337, errA = 0.050857
i= 23, err2=0.0111299, errA = 0.0507314
i= 24, err2=0.010408, errA = 0.0482065
i= 25, err2=0.0084644, errA = 0.0473392
i= 26, err2=0.0095242, errA = 0.0449086
i= 27, err2=0.00786346, errA = 0.0422264
i= 28, err2=0.00710976, errA = 0.0400692
i= 29, err2=0.00343314, errA = 0.0365946
i= 30, err2=0.0032003, errA = 0.0365706
i= 31, err2=0.00383252, errA = 0.0359989
i= 32, err2=0.00258363, errA = 0.0356771
i= 33, err2=0.00347721, errA = 0.0344451
i= 34, err2=0.00340726, errA = 0.0331365
i= 35, err2=0.00346872, errA = 0.0321285
i= 36, err2=0.00361406, errA = 0.0320297
i= 37, err2=0.00426881, errA = 0.0318081
i= 38, err2=0.00324596, errA = 0.0306447
i= 39, err2=0.00277902, errA = 0.0290651
i= 40, err2=0.00293845, errA = 0.0286227
i= 41, err2=0.00212972, errA = 0.0285119
i= 42, err2=0.00210881, errA = 0.0275241
i= 43, err2=0.00215681, errA = 0.0275156
i= 44, err2=0.0023146, errA = 0.0270744
i= 45, err2=0.00204104, errA = 0.0266803
i= 46, err2=0.00237985, errA = 0.0261624
i= 47, err2=0.00227913, errA = 0.0255987
i= 48, err2=0.00183851, errA = 0.0251171
i= 49, err2=0.00172011, errA = 0.0244901
i= 50, err2=0.00159192, errA = 0.0244807
i= 51, err2=0.00181915, errA = 0.0243499
i= 52, err2=0.00320587, errA = 0.0234166
i= 53, err2=0.00277334, errA = 0.0231276
i= 54, err2=0.00114346, errA = 0.0218446
i= 55, err2=0.00152858, errA = 0.0215695
i= 56, err2=0.00229581, errA = 0.0214376
i= 57, err2=0.00204595, errA = 0.0213599
i= 58, err2=0.00209586, errA = 0.0212431
i= 59, err2=0.00130406, errA = 0.0201611
i= 60, err2=0.000960711, errA = 0.0199344
i= 61, err2=0.0017609, errA = 0.0196256
i= 62, err2=0.00186693, errA = 0.0190304
i= 63, err2=0.00257307, errA = 0.0186372
i= 64, err2=0.00160632, errA = 0.0185034
i= 65, err2=0.00115646, errA = 0.0184451
i= 66, err2=0.00440478, errA = 0.0180201
i= 67, err2=0.00105052, errA = 0.0164845
i= 68, err2=0.00136897, errA = 0.016399
i= 69, err2=0.00102496, errA = 0.0156709
i= 70, err2=0.000991889, errA = 0.0156683
i= 71, err2=0.000719041, errA = 0.0156155
i= 72, err2=0.00183573, errA = 0.0154197
i= 73, err2=0.00115378, errA = 0.0151998
i= 74, err2=0.000787502, errA = 0.0151374
i= 75, err2=0.00131369, errA = 0.0148515
i= 76, err2=0.000719232, errA = 0.0147167
i= 77, err2=0.000804152, errA = 0.0146918
i= 78, err2=0.000525952, errA = 0.0146745
i= 79, err2=0.000585432, errA = 0.0138135
i= 80, err2=0.00128845, errA = 0.0135901
i= 81, err2=0.00147585, errA = 0.012604
i= 82, err2=0.000415869, errA = 0.0123318
i= 83, err2=0.000568978, errA = 0.0123266
i= 84, err2=0.000821856, errA = 0.0122437
i= 85, err2=0.000755208, errA = 0.0117729
i= 86, err2=0.000641243, errA = 0.0117088
i= 87, err2=0.00239725, errA = 0.0114665
i= 88, err2=0.00224789, errA = 0.0110986
i= 89, err2=0.00139368, errA = 0.0108377
i= 90, err2=0.00156471, errA = 0.0107779
i= 91, err2=0.000258077, errA = 0.0105746
i= 92, err2=0.000442051, errA = 0.0105209
i= 93, err2=0.00175959, errA = 0.010037
i= 94, err2=0.000630292, errA = 0.00969076
i= 95, err2=0.0003383, errA = 0.00958552
i= 96, err2=0.000342633, errA = 0.00956668
i= 97, err2=0.000311756, errA = 0.00956523
i= 98, err2=0.000789517, errA = 0.00946268
i= 99, err2=0.000910319, errA = 0.00902143
i=100, err2=0.000326173, errA = 0.00886787
