=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 64
====DATA = ../graphs/rand_1000_u1000/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 338623.370665
||xbar||_A = 3258.656203
i=  1, err2=0.948648, errA = 0.954133
i=  2, err2=0.851018, errA = 0.86347
i=  3, err2=0.765592, errA = 0.784329
i=  4, err2=0.70513, errA = 0.728343
i=  5, err2=0.636609, errA = 0.655248
i=  6, err2=0.587858, errA = 0.603398
i=  7, err2=0.535451, errA = 0.550264
i=  8, err2=0.505563, errA = 0.514672
i=  9, err2=0.463257, errA = 0.472787
i= 10, err2=0.431867, errA = 0.439125
i= 11, err2=0.407636, errA = 0.412433
i= 12, err2=0.384338, errA = 0.388093
i= 13, err2=0.362515, errA = 0.36618
i= 14, err2=0.340996, errA = 0.343582
i= 15, err2=0.322269, errA = 0.326551
i= 16, err2=0.295825, errA = 0.298741
i= 17, err2=0.283587, errA = 0.284568
i= 18, err2=0.264385, errA = 0.266466
i= 19, err2=0.234583, errA = 0.237399
i= 20, err2=0.210966, errA = 0.21285
i= 21, err2=0.192963, errA = 0.195472
i= 22, err2=0.176726, errA = 0.179286
i= 23, err2=0.157411, errA = 0.16008
i= 24, err2=0.138738, errA = 0.140012
i= 25, err2=0.123875, errA = 0.125269
i= 26, err2=0.11355, errA = 0.114571
i= 27, err2=0.100756, errA = 0.10125
i= 28, err2=0.0904987, errA = 0.0911908
i= 29, err2=0.0821113, errA = 0.0824951
i= 30, err2=0.0725373, errA = 0.0734904
i= 31, err2=0.0653533, errA = 0.0664219
i= 32, err2=0.0587722, errA = 0.0600477
i= 33, err2=0.0530205, errA = 0.0546844
i= 34, err2=0.0474454, errA = 0.0489224
i= 35, err2=0.0408545, errA = 0.0418168
i= 36, err2=0.0361305, errA = 0.0370364
i= 37, err2=0.0320704, errA = 0.0328919
i= 38, err2=0.0284878, errA = 0.0290835
i= 39, err2=0.0247211, errA = 0.0253074
i= 40, err2=0.0219614, errA = 0.022429
i= 41, err2=0.0191928, errA = 0.019673
i= 42, err2=0.0167645, errA = 0.0172293
i= 43, err2=0.0147535, errA = 0.0151742
i= 44, err2=0.0127941, errA = 0.0130692
i= 45, err2=0.0111953, errA = 0.0114526
i= 46, err2=0.00963099, errA = 0.00983816
i= 47, err2=0.00836734, errA = 0.00853599
i= 48, err2=0.00724738, errA = 0.00739502
i= 49, err2=0.00635874, errA = 0.00641746
i= 50, err2=0.00566064, errA = 0.00568561
i= 51, err2=0.00487378, errA = 0.00492763
i= 52, err2=0.00432125, errA = 0.00433551
i= 53, err2=0.00374364, errA = 0.00376918
i= 54, err2=0.00318649, errA = 0.00320991
i= 55, err2=0.00272272, errA = 0.00275243
i= 56, err2=0.00237247, errA = 0.0023865
i= 57, err2=0.00200421, errA = 0.00202536
i= 58, err2=0.00175911, errA = 0.00176527
i= 59, err2=0.00151781, errA = 0.00151806
i= 60, err2=0.00131192, errA = 0.00130447
i= 61, err2=0.00111008, errA = 0.00111048
i= 62, err2=0.000932684, errA = 0.000933917
i= 63, err2=0.000779404, errA = 0.000778885
i= 64, err2=0.000655944, errA = 0.000655137
i= 65, err2=0.000552653, errA = 0.000553765
i= 66, err2=0.000463287, errA = 0.000465498
i= 67, err2=0.000412929, errA = 0.000415001
i= 68, err2=0.000385743, errA = 0.000387931
i= 69, err2=0.000329374, errA = 0.00032995
i= 70, err2=0.000272268, errA = 0.000272252
i= 71, err2=0.000231846, errA = 0.000232956
i= 72, err2=0.000197545, errA = 0.000195924
i= 73, err2=0.000164928, errA = 0.000165104
i= 74, err2=0.000151923, errA = 0.000153287
i= 75, err2=0.000134562, errA = 0.000134756
i= 76, err2=0.000111197, errA = 0.000111169
i= 77, err2=9.44904e-05, errA = 9.41758e-05
i= 78, err2=8.85258e-05, errA = 8.84567e-05
i= 79, err2=7.91799e-05, errA = 7.89538e-05
i= 80, err2=6.87164e-05, errA = 6.76733e-05
i= 81, err2=6.66539e-05, errA = 6.57372e-05
i= 82, err2=5.6194e-05, errA = 5.54252e-05
i= 83, err2=5.44075e-05, errA = 5.36191e-05
i= 84, err2=4.71086e-05, errA = 4.62305e-05
i= 85, err2=4.17172e-05, errA = 4.08752e-05
i= 86, err2=4.01306e-05, errA = 3.92919e-05
i= 87, err2=3.39647e-05, errA = 3.33424e-05
i= 88, err2=3.3184e-05, errA = 3.25933e-05
i= 89, err2=2.90015e-05, errA = 2.83629e-05
i= 90, err2=2.43148e-05, errA = 2.36813e-05
i= 91, err2=2.06341e-05, errA = 2.00154e-05
i= 92, err2=1.79431e-05, errA = 1.734e-05
i= 93, err2=1.52652e-05, errA = 1.47105e-05
i= 94, err2=1.28978e-05, errA = 1.25159e-05
i= 95, err2=1.0932e-05, errA = 1.06121e-05
i= 96, err2=1.02585e-05, errA = 1.00024e-05
i= 97, err2=9.05606e-06, errA = 8.80702e-06
i= 98, err2=7.51645e-06, errA = 7.3133e-06
i= 99, err2=6.56444e-06, errA = 6.42936e-06
i=100, err2=6.25044e-06, errA = 6.10404e-06
